ID,タイムスタンプ,コメント,タイトル,チャンネル,URL,日付
2524,981,筋肉無くなりすぎるとあらゆる免疫無くなるよね,2024→2025 さらば2024いくぜ2025！！！！,一ノ瀬うるは,https://www.youtube.com/watch?v=NYDQI-mk68I,2024-12-31T16:43:23Z
2805,1108,脚の筋肉はまじで大事や,2024→2025 さらば2024いくぜ2025！！！！,一ノ瀬うるは,https://www.youtube.com/watch?v=NYDQI-mk68I,2024-12-31T16:43:23Z
2813,1114,毎日続けたら筋肉つきそ,2024→2025 さらば2024いくぜ2025！！！！,一ノ瀬うるは,https://www.youtube.com/watch?v=NYDQI-mk68I,2024-12-31T16:43:23Z
2899,1142,筋肉ムキムキぽたくが来るぞ,2024→2025 さらば2024いくぜ2025！！！！,一ノ瀬うるは,https://www.youtube.com/watch?v=NYDQI-mk68I,2024-12-31T16:43:23Z
3002,1190,筋肉あるけどタバコ吸いすぎて体力はない,2024→2025 さらば2024いくぜ2025！！！！,一ノ瀬うるは,https://www.youtube.com/watch?v=NYDQI-mk68I,2024-12-31T16:43:23Z
7116,2593,筋肉担当,2024→2025 さらば2024いくぜ2025！！！！,一ノ瀬うるは,https://www.youtube.com/watch?v=NYDQI-mk68I,2024-12-31T16:43:23Z
7124,2594,筋肉担当w,2024→2025 さらば2024いくぜ2025！！！！,一ノ瀬うるは,https://www.youtube.com/watch?v=NYDQI-mk68I,2024-12-31T16:43:23Z
27983,6693,やはり筋肉、筋肉が足りない,ai~,一ノ瀬うるは,https://www.youtube.com/watch?v=de7jjEmi_7E,2024-07-05T18:22:42Z
32553,10380,やはり筋肉ｗ,ai~,一ノ瀬うるは,https://www.youtube.com/watch?v=de7jjEmi_7E,2024-07-05T18:22:42Z
32569,10392,筋肉必要だな,ai~,一ノ瀬うるは,https://www.youtube.com/watch?v=de7jjEmi_7E,2024-07-05T18:22:42Z
34930,12402,全身筋肉痛ｗ,ai~,一ノ瀬うるは,https://www.youtube.com/watch?v=de7jjEmi_7E,2024-07-05T18:22:42Z
39727,1260,たぶん全身の筋肉だめか,daru~n,一ノ瀬うるは,https://www.youtube.com/watch?v=x48gmMGXRNo,2024-09-13T18:00:58Z
39728,1261,逆上がりってそんな筋肉使うか？,daru~n,一ノ瀬うるは,https://www.youtube.com/watch?v=x48gmMGXRNo,2024-09-13T18:00:58Z
39938,1366,逆に筋肉ついたんじゃね,daru~n,一ノ瀬うるは,https://www.youtube.com/watch?v=x48gmMGXRNo,2024-09-13T18:00:58Z
39964,1382,普段使わない筋肉使うのこわいお,daru~n,一ノ瀬うるは,https://www.youtube.com/watch?v=x48gmMGXRNo,2024-09-13T18:00:58Z
39976,1389,動かさないと筋肉衰えてできなくなるのかな？,daru~n,一ノ瀬うるは,https://www.youtube.com/watch?v=x48gmMGXRNo,2024-09-13T18:00:58Z
40171,1516,水の抵抗に筋肉が負けそう,daru~n,一ノ瀬うるは,https://www.youtube.com/watch?v=x48gmMGXRNo,2024-09-13T18:00:58Z
40237,1544,筋肉減ると体力の上限減るよな,daru~n,一ノ瀬うるは,https://www.youtube.com/watch?v=x48gmMGXRNo,2024-09-13T18:00:58Z
53580,11368,カロリーいきなり減らすとまず筋肉から減るからな,daru~n,一ノ瀬うるは,https://www.youtube.com/watch?v=x48gmMGXRNo,2024-09-13T18:00:58Z
53588,11383,筋肉がおちるからね,daru~n,一ノ瀬うるは,https://www.youtube.com/watch?v=x48gmMGXRNo,2024-09-13T18:00:58Z
58905,580,筋肉もないからね,hannari~,一ノ瀬うるは,https://www.youtube.com/watch?v=olJE9bNhbXY,2024-05-09T18:08:11Z
76842,4155,ブロリーみたいな筋肉つけれる人はすごい人なんよｗｗ,kussodaradara game~,一ノ瀬うるは,https://www.youtube.com/watch?v=CmV7CNO5Vxk,2024-06-10T18:42:16Z
76854,4219,でも八雲この前、魅力的に感じる人でスキンヘッド＋筋肉もりもりな海外の俳優さんを例に出してたけどな・・・,kussodaradara game~,一ノ瀬うるは,https://www.youtube.com/watch?v=CmV7CNO5Vxk,2024-06-10T18:42:16Z
87926,6217,筋肉！,mata~ri,一ノ瀬うるは,https://www.youtube.com/watch?v=TwM_FVGP1EI,2025-02-05T17:05:14Z
87927,6218,筋肉？,mata~ri,一ノ瀬うるは,https://www.youtube.com/watch?v=TwM_FVGP1EI,2025-02-05T17:05:14Z
87934,6223,臭いとか筋肉とか鎖骨とか？,mata~ri,一ノ瀬うるは,https://www.youtube.com/watch?v=TwM_FVGP1EI,2025-02-05T17:05:14Z
89189,7692,上質な筋肉さん....(´;ω;｀),mata~ri,一ノ瀬うるは,https://www.youtube.com/watch?v=TwM_FVGP1EI,2025-02-05T17:05:14Z
90803,8938,糖質消化されないと筋肉消化され出すから,mata~ri,一ノ瀬うるは,https://www.youtube.com/watch?v=TwM_FVGP1EI,2025-02-05T17:05:14Z
90870,8968,やっぱり筋肉は必要,mata~ri,一ノ瀬うるは,https://www.youtube.com/watch?v=TwM_FVGP1EI,2025-02-05T17:05:14Z
91217,9215,太れない人も筋肉はつけれるのかな？,mata~ri,一ノ瀬うるは,https://www.youtube.com/watch?v=TwM_FVGP1EI,2025-02-05T17:05:14Z
91218,9216,筋肉つける方向は無理なんかな,mata~ri,一ノ瀬うるは,https://www.youtube.com/watch?v=TwM_FVGP1EI,2025-02-05T17:05:14Z
91283,9277,筋肉を付ける喜び,mata~ri,一ノ瀬うるは,https://www.youtube.com/watch?v=TwM_FVGP1EI,2025-02-05T17:05:14Z
92161,9636,筋肉がないってことか,mata~ri,一ノ瀬うるは,https://www.youtube.com/watch?v=TwM_FVGP1EI,2025-02-05T17:05:14Z
121917,4639,わかるw最近笑いすぎて腹筋筋肉痛だもん,opanyo~~~~~~samuine~~~~~⛄,一ノ瀬うるは,https://www.youtube.com/watch?v=M8d9ZL79sWY,2024-12-16T01:40:52Z
125342,8860,筋肉に話しかけるのはいい？,opanyo~~~~~~samuine~~~~~⛄,一ノ瀬うるは,https://www.youtube.com/watch?v=M8d9ZL79sWY,2024-12-16T01:40:52Z
146287,6346,筋肉うおおお,oyasumisiyo~~ みてほしいものある！！,一ノ瀬うるは,https://www.youtube.com/watch?v=es1foQZUJSU,2024-09-26T15:40:04Z
146288,6347,ぽたくの筋肉担当は任せた,oyasumisiyo~~ みてほしいものある！！,一ノ瀬うるは,https://www.youtube.com/watch?v=es1foQZUJSU,2024-09-26T15:40:04Z
146290,6347,すごい筋肉,oyasumisiyo~~ みてほしいものある！！,一ノ瀬うるは,https://www.youtube.com/watch?v=es1foQZUJSU,2024-09-26T15:40:04Z
146296,6349,筋肉いいぞぉ,oyasumisiyo~~ みてほしいものある！！,一ノ瀬うるは,https://www.youtube.com/watch?v=es1foQZUJSU,2024-09-26T15:40:04Z
146310,6358,やはり筋肉,oyasumisiyo~~ みてほしいものある！！,一ノ瀬うるは,https://www.youtube.com/watch?v=es1foQZUJSU,2024-09-26T15:40:04Z
146372,6406,誰かの筋肉食った可能性だってある,oyasumisiyo~~ みてほしいものある！！,一ノ瀬うるは,https://www.youtube.com/watch?v=es1foQZUJSU,2024-09-26T15:40:04Z
146378,6424,脂肪を落として筋肉だから相当かしら,oyasumisiyo~~ みてほしいものある！！,一ノ瀬うるは,https://www.youtube.com/watch?v=es1foQZUJSU,2024-09-26T15:40:04Z
150843,1868,実は筋肉モリモリかもしれない,TYOOOOOOO,一ノ瀬うるは,https://www.youtube.com/watch?v=yGhOo3J_fBM,2024-04-12T18:01:49Z
153169,3566,足の筋肉ある？,TYOOOOOOO,一ノ瀬うるは,https://www.youtube.com/watch?v=yGhOo3J_fBM,2024-04-12T18:01:49Z
153273,3632,足の筋肉なくなる,TYOOOOOOO,一ノ瀬うるは,https://www.youtube.com/watch?v=yGhOo3J_fBM,2024-04-12T18:01:49Z
153282,3642,ちょっと歩くだけで筋肉痛とかにならない？,TYOOOOOOO,一ノ瀬うるは,https://www.youtube.com/watch?v=yGhOo3J_fBM,2024-04-12T18:01:49Z
153306,3668,とりあえず、荷物持つだけで筋肉痛になったら、体限界やで,TYOOOOOOO,一ノ瀬うるは,https://www.youtube.com/watch?v=yGhOo3J_fBM,2024-04-12T18:01:49Z
153524,3859,ケツの筋肉弱いと座ってる時ケツの穴がダイレクトに重圧掛かるから痔になる(気がする),TYOOOOOOO,一ノ瀬うるは,https://www.youtube.com/watch?v=yGhOo3J_fBM,2024-04-12T18:01:49Z
155565,5686,舌の筋肉とか口周りの筋肉が弱っているとか？,TYOOOOOOO,一ノ瀬うるは,https://www.youtube.com/watch?v=yGhOo3J_fBM,2024-04-12T18:01:49Z
155581,5707,筋肉の問題とか？,TYOOOOOOO,一ノ瀬うるは,https://www.youtube.com/watch?v=yGhOo3J_fBM,2024-04-12T18:01:49Z
155813,5957,あと単純に人相変わるよ。噛み合わせの関係で筋肉がね,TYOOOOOOO,一ノ瀬うるは,https://www.youtube.com/watch?v=yGhOo3J_fBM,2024-04-12T18:01:49Z
157397,7153,ただでさえ外でなくて脚の筋肉終わってるのに、そうなったらもう全身の筋肉おわるぞｗｗ,TYOOOOOOO,一ノ瀬うるは,https://www.youtube.com/watch?v=yGhOo3J_fBM,2024-04-12T18:01:49Z
157662,7325,筋肉蘇るマ？,TYOOOOOOO,一ノ瀬うるは,https://www.youtube.com/watch?v=yGhOo3J_fBM,2024-04-12T18:01:49Z
165547,1824,筋肉も骨密度も落ちてそう,yoru,一ノ瀬うるは,https://www.youtube.com/watch?v=1QGmN6l01s8,2024-10-20T16:03:36Z
165548,1825,筋肉が減った分ね,yoru,一ノ瀬うるは,https://www.youtube.com/watch?v=1QGmN6l01s8,2024-10-20T16:03:36Z
165551,1825,逆に筋肉残っとるか？w,yoru,一ノ瀬うるは,https://www.youtube.com/watch?v=1QGmN6l01s8,2024-10-20T16:03:36Z
165564,1829,体重よりも筋肉つけないとあかん,yoru,一ノ瀬うるは,https://www.youtube.com/watch?v=1QGmN6l01s8,2024-10-20T16:03:36Z
165578,1834,筋肉が無いなってる,yoru,一ノ瀬うるは,https://www.youtube.com/watch?v=1QGmN6l01s8,2024-10-20T16:03:36Z
165582,1840,足の筋肉ごっそりなくなってるだろうからなぁ,yoru,一ノ瀬うるは,https://www.youtube.com/watch?v=1QGmN6l01s8,2024-10-20T16:03:36Z
165583,1841,筋肉つけよう,yoru,一ノ瀬うるは,https://www.youtube.com/watch?v=1QGmN6l01s8,2024-10-20T16:03:36Z
165592,1845,筋肉はあるだけで代謝上がるからね,yoru,一ノ瀬うるは,https://www.youtube.com/watch?v=1QGmN6l01s8,2024-10-20T16:03:36Z
165645,1899,筋肉落ちすぎて歩くとダメージ深くて余計歩かなくなる負のループまじである,yoru,一ノ瀬うるは,https://www.youtube.com/watch?v=1QGmN6l01s8,2024-10-20T16:03:36Z
165751,1966,まぁ筋肉ゼロと考えれば残りは,yoru,一ノ瀬うるは,https://www.youtube.com/watch?v=1QGmN6l01s8,2024-10-20T16:03:36Z
